Input.num,flag,Translation
82,,"Diesmal war es ein großer und bequemer Stuhl, kein hölzerner Hocker, und Harry konnte fühlen, wie er eingehüllt wurde, als er darin sank."
82,x,Diese Mal war es ein großer und gemühtlicher Sessel und kein hölzenere Stuhl. Harry fühlte sich geborgen als er in ihm versank.
84,,Punkt  Eins: Harry war eher angetan von Professor Quirrrell als Dumbledore
84,,Erster Punkt: Harry hatte mehr Sympathie für Professor Quirrell als für Dumbledore.
84,,Punkt eins: Harry mochte Professor Quirrell lieber als Dumbledore.
85,,"Punkt zwei: Die hypothese war das Verteidigung Professor war geplant machen etwas böses, und darin konjunktiv fall, Harry sollte sein dem Schulleiter helfen verhindere es."
85,,"Punkt zwei: Die Hypothese war, dass der Verteidigungsprofessor plante, etwas Böses zu tun, und in diesem subjunktiven Fall sollte Harry dem Direktor helfen, es zu verhindern."
85,,"Zweiter Punkt: Die Hypothese war dass die Vertidigungsprofessor planten etwas böses zu tun, und in diesem vorgestellen Fall,sollte Harry den Schulleiter helfen, ihn zu vermeiden."
85,x,"Punkt zwei: Der Verdacht bestand, dass der Professor in Verteidigung (gegen die dunklen Künste) etwas böses plante und Harry, in diesem eventuellem Fall, dem Schulleiter helfen sollte dies zu verhindern."
86,,Punkt drei...
86,,Drittens...
86,,Punkt drei...
88,,Er ist sehr viel erfahrener als ich
88,,"Er hat einiges mehr an Erfahrung als ich."""
88,,"Er hat viel mehr Erfahrung als ich."""
92,,"""Ich erinnere mich"" der alte zauberer fuhr fort, ""ein junger mann in diesem büro, kalt und kontrolliert als er nach unten schaute das Oberhaupt des Hauses Slytherin, erpressung sein eigener Schulleiter um seine mitschüler zu beschützen."
92,,Slytherin
92,,"„Ich erinnere mich“, fuhr der alte Zauberer fort, „ein junger Mann in genau diesem Büro, kalt und kontrolliert, als er dem Hauslehrer Slytherin gegenüberstand und seinen eigenen Schulleiter erpresste, um seine Klassenkameraden zu schützen."
92,,"""Ich einnere mich,"" fuhr der alte Zauberer fort, ""ein junger Mann in demselben Büro, kalt und kontrolliert als er nach unten zu dem Chef des Hauses slytherin, erspresste seinen eigenen Schulleiter um seine Klassenkameraden zu beschützen."
92,x,"""Ich erinnere mich,"" fuhr der alte Zauberer fort, ""an einen jungen Mann, genau in diesem Büro, kalt und diszipliniert als er dem Oberhaupt von Haus Slytherin gegenübertrat, seinen eigenen Schulleiter erpressend seine Mitschüler zu beschützen."""
93,,"Und ich glaube dieser junge mann ist schlauer als Professor Quirrell, ist schlauer als Lucius Malfoy, dass er wächst gleich sein von Voldemort selbst."
93,,"Und ich glaube, dass der junge Mann listiger als Professor Quirrell ist, listiger als Lucius Malfoy, und er wird schließlich Voldemort selbst ebenbürtig sein."
93,,"Und ich glaube, dieser junge Mann ist mehr gerissen als Professor Quirrel, mehr gerissen als Lucius Malfoy, dass er gleich wie Voldemort nachdem er aufwachsen wird."
93,x,"""Und ich vermute, dass dieser junge Mann, durchtriebener ist als Professor Quirell, durchtriebener als Lucius Malfoy, zu Voldemort selbst heranwächst."""
94,,"Er ist es, den ich zu Rate ziehen will."""
94,,"Er ist es, den ich konsultieren möchte."""
94,,"Er ist es, den ich zu Rate ziehen möchte."""
95,,"Harry unterdrückte die Kälte die ihn bei dem Namen durchdrang, er runzelte die Stirn nachdenklich gegenüber dem Schulleiter."
95,,"Harry unterdrückte das Schaudern das ihn bei dem Namen überlief, und runzelte nachdenklich seine Stirn."
95,,"Harry unterdrückte den Schauer, der ihn bei diesem Namen durchlief, und blickte den Schulleiter nachdenklich an."
98,,"Harry erinnerte sich immer noch daran, wie es war, die unsichtbare Zeit zu beobachten - drehte sich um sein vergangenes Selbst"
98,,"Harry noch daran erinnert wie es gewesen war schauen, unsichtbare zeit gedreht, als sein vergangenes selbst stellte sich den älteren Slytherins; der junge mit der narbe auf der stirn der sich nicht wie die anderen verhalten hat."
98,,"Harry erinnerte sich noch immer daran, wie es gewesen war, unsichtbar der Zeitumkehrung zuzusehen, wie sein vergangenes Ich den älteren Slytherins gegenüberstand; der Junge mit der Narbe auf der Stirn, der sich nicht wie die anderen benahm."
98,,"Harry wusste immernoch wiees war zu schauen, unsichtbar in der Vergagenheit getaucht, als sein vergangenes Ich gegen die älteren Slytherins auftrat; der Junge mit einer Narbe auf seinem Stirn, der sich nicht wie andere verhielt."
98,x,"Harry erinnert sich, unmerklich von der Zeit verändert, wie es war zuzuschauen als sein jüngeres Selbst den älteren Syltherin entgegentrat; der Junge mit der Narbe auf der Stirn, der anders war als die anderen."
99,,Natürlich die Schulleiter hätte bemerkte etwas seltsam über den jungen in seinem büro...
99,,"Natürlich hätte der Schulleiter bemerkt, dass an dem Jungen in seinem Büro irgendetwas besonders war..."
99,,Natürlich hätte der Schulleiter etwas an dem Jungen in seinem Büro bemerkt...
101,,"Was nicht viel verlangte, wenn man bedenkt dass der Dunkle Lord hatte ein deutlich sichtbares Dunkles Mal auf alle seine diener linker arm, und das würde er abgeschlachtet das ganze kloster das lehrte das kriegerische kunst er wollte lernen."
101,,"Was nicht sehr viel verlangte, wenn man bedenkt, dass der Dunkler Lord ein deutlich sichtbares dunkles Zeichen auf alle linken Arme seiner Diener gesetzt hatte und dass er das gesamte Kloster geschlachtet hatte, das die Kampfkunst lehrte, die er lernen wollte"
101,,"Was nicht viel verlangte, wenn man bedenkt, dass der Dunkle Lord ein deutlich sichtbares Dunkles Mal auf alle linken Arme seiner Diener gelegt hatte und dass er das gesamte Kloster abgeschlachtet hatte, das die Kampfkunst lehrte, die er lernen wollte."
101,x,"Was nicht zu viel verlangt war, in Anbetracht dessen, dass der Dunkle Lord ein deutlich sichtbares Zeichen auf dem linken Arm seiner Gefolgsleute hinterlies und dass er ein gesamtes Kloster abschlachtete, welches ihm die Kampfkunst lehrte die er bestrebte."
103,,"Aber es war auch klar dass der Schulleiter wäre nicht zufrieden bis Harry ganz kalt wurde und dunkel, und kam auf eine art antwort das klang beeindruckend schlau... was war besser nicht wirklich im weg stehen der verteidigung von Professor Quirrell..."
103,,"Aber es war auch klar, dass der Schulleiter nicht zufrieden sein würde, bis Harry ganz kalt und dunkel wurde und eine Art Antwort fand, die beeindruckend gerissen klang... das sollte Professor Quirrells Lehren in Verteidigung besser nicht im Weg stehen..."
103,,"Aber es war auch klar, dass der schullieter nicht zufrieden sein würde bis Harry kalt und deunkle sein wird, und dachte sich eine Antwort aus die beeindruckend reißend klingt...welche besser nicht über den Weg von Professor Quirrells Verteidigungsunterricht..."
103,x,"Jedoch war es auch klar, dass der Schuleiter nicht zufrieden ist bis Harry kalt und düster wurde um eine Antwort zu finden, die beintruckend raffiniert ist... welche jedoch besser nicht Professor Quirrells Lehre der Verteidigung im Weg steht."
104,,"Und natürlich Harry würde zu seiner dunklen seite übergehen und überlege es aus dieser richtung, nur um ehrlich zu sein, und nur für den fall."
104,,"Und natürlich ging Harry zu seiner dunklen Seite und dachte es aus dieser Richtung durch, nur um ehrlich zu sein, und nur für den Fall."
104,,"Und natürlich würde Harry zu seiner dunklen Seite hinübergehen und es aus dieser Richtung durchdenken, nur um ehrlich zu sein und nur für den Fall."
104,x,"Natürlich würde Harry, nur um ehrlich zu sein, es von seiner dunklen Seite aus überdenken, nur für den Fall."
107,,"Der Dementor würde transportiert auf das gelände von Hogwarts von einem Auror trio, alle drei sind dem Schulleiter persönlich bekannt, und alle drei sind in der lage einen körperlichen Patronus zauber zu wirken."
107,,"Der Dementor würde von einem Auror-Trio auf das Gelände von Hogwarts transportiert werden, alle drei persönlich dem Direktor bekannt und alle drei in der Lage, einen körperlichen Patronus-Charme zu spielen."
107,,"Der Demntor wird von einem Auror trio auf den Boden von Hogwarts transportiert, alle drei kennen persönlich den Schulleiter, und alle diese drei können einen köperlicher Patronus-Zauber anwenden."
107,x,"Der Dementor würde von 3 Auroren aus Hogwarts weggebracht werden, alle 3 persönlich vetraut zum Schulleiter, alle 3 in der Lage einen Patronus in Gestalt zu beschwören."
109,,Harry fragte ob der pass war dauerhaft oder vorübergehend - ob jemand könnte einfach das gleiche mitbringen Dementor am nächsten wieder tag.
109,,"Harry fragte, ob der Pass dauerhaft oder vorübergehend sei – ob jemand den gleichen Dementor am nächsten Tag einfach noch einmal hereinbringen könnte."
109,,"Harry fragte sich, ob der Übergang permanent oder voläufig war- ob jemand am nächsten Tag den selben Dementor mitbringen könnte."
109,x,"Harry fragte, ob der Passierschein permanent oder temporär ist - ob jemand den gleichen Dementor am nächsten Tag mit hineinnehmen könnte."
110,,"Der pass war vorübergehend (antwortete der Schulleiter mit einem zustimmenden nicken), und die erklärung ging weiter: Der Dementor wäre in einem käfig aus massiven titanstäben, nicht verklärt aber echt geschmiedet; mit der zeit ein Dementor präsenz würde korrodieren dieses metall zu staub, aber nicht an einem einzigen tag."
110,,"Der Pass war vorübergehend (der Direktor antwortete mit einem zustimmenden Nicken) und die Erklärung ging weiter: Der Dementor wäre in einem Käfig aus massiven Titanstäben, nicht verklärt, sondern wahr geschmiedet; mit der Zeit würde die Gegenwart eines Dementors dieses Metall zu Staub zersetzen, aber nicht an einem einzigen Tag."
110,,"Der Pass war vorübergehend (erwiderte der Schulleiter mit einem zustimmenden Nicken), und die Erklärung ging weiter: Der Dementor würde in einem Käfig aus massiven Titanstangen sein, nicht verklärt, sondern echt geschmiedet; Mit der Zeit würde die Anwesenheit eines Dementors dieses Metall zu Staub zersetzen, aber nicht an einem einzigen Tag."
110,x,"Der Passierschein war zeitlich begrenzt (antwortete der Schuldirektor mit einem zustimmenden Nicken) und die Erklärung ging weiter: Der Dementor würde sich in einem Käfig aus Titanstäben befinden, nicht umgewandelt sondern echt geschmiedet, über die Zeit hinweg würde die Präsenz eines Dementors das Metall zu Staub korrodieren lassen, aber nicht an einem einzigen Tag."
111,,"Studenten warten sie würden gut bleiben rückseite des Dementors, hinter zwei körperlichen Patronus gepflegt von zwei der drei Aurors zu jeder zeit."
111,,"Schüler, die darauf warteten, an der Reihe zu sein, würden sich weit hinter dem Dementor aufhalten, hinter zwei körperlichen Patronus, die von zwei der drei Auroren zu jeder Zeit unterhalten wurden."
111,,"Studenten die darauf warteten an die Reihe zu kommen standen weit hinter dem Dementor, hinter zwei korperlichen Patronussen die jederzeit von zwei der drei Auroren auferhalten wurden."
111,x,"Schüler die warteten bis sie an der Reihe waren, hielten sich vom Dementor fern, hinter zwei Patronus, welche von zwei der drei Auroren die gesamte Zeit aufrechterhalten wurden."
113,,
113,,"Ein einzelner Schüler würde sich dem Dementor nähern und Dumbledore würde seinen Patronus zerstreuen; und der Schüler würde versuchen, seinen eigenen Patronuszauber zu wirken, und wenn sie versagten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler dauerhaften Schaden erleiden konnte"
113,,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde seinen Patronus heraufbeschwören; und der Schüler würde dann seinen eigenen Patronus anrufen; und wenn es schiefginge, dann würde Dumbeldore seinen Patronus wieder anrufen, bevor dem Schüler irgendein Schaden widerfahren würde."
113,,"Ein einzelner Schüler würde sich dem Dementor nähern und Dumbledore würde seinen Patronus auflösen, und der Schüler würde versuchen, seinen eigenen Patronuszauber zu sprechen; wenn sie scheiterten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler bleibenden Schaden erleiden konnte."
113,,"Ein einzelner Schüler würde sich dem Dementor nähern, und Dumbledore würde seinen Patronus auflösen. Der Schüler würde versuchen, seinen eigenen Patronus Zauber zu wirken, und wenn er scheitern würde, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler einen dauerhaften Schaden erleiden könnte."
113,,"Ein einzelner schüler würde den Dementor ansprechen; und Dumbledore würde seinen Patronus vertreiben; und der schüler würde versuchen zu werfen ihre eigenen Patronus Charme; und wenn sie versagt haben, Dumbledore würde wiederherstellen sein Patronus vor dem schüler könnte dauerhaft leiden beschädigung."
113,,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde seinen Patronus vertreiben; und der Schüler versuchte, seinen eigenen Patronus-Charme zu spielen; Und wenn sie scheiterten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler irgendeinen bleibenden Schaden erleiden könnte."
113,,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde versuchen, ihren eigenen Patronuszauber zu wirken; und wenn sie scheiterten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler dauerhaften Schaden erleiden konnte."
113,x,"Ein einzelner Schüler würde auf den Dementor zugehen; und Dumbledore würde seinen Patronus vertreiben, und der Schüler würde versuchen den eigenen Patronuszauber zu wirken; und wenn er scheitern würde, würde Dumbledore den Patronus wieder herstellen, bevor der Schüler langfristigen Schaden davon tragen konnte."
114,,"Der ehemalige Duellchampion Professor Flitwick wäre auch anwesend solange Schüler in der Nähe wären, nur um zusätzlich für Sicherheit zu sorgen."
114,,"Professor Flitwick, der ehemalige Duellchampion, würde zur Wahrung der Sicherheit auch da sein während sich Schüler in der Nähe aufhalten."
114,,"Ehemaliger Duelchampion Professor Flitwick wäre hier, wenn Schüler in der Nähe sind um Sicherheitsabstand einzufügen."
117,,Der Schulleiter schüttelte den Kopf.
117,,Der Schulleiter schüttelte seinen Kopf.
117,,Der Schulleiter schüttelte den Kopf.
119,,"Und wenn Dumbledore's Patronus ist aus irgendeinem grund gescheitert, während einer der studenten war noch in der nähe Dementor, der dritte Auror würde einen anderen werfen körperlich Patronus und sende es um den schüler abzuschirmen..."
119,,"Und wenn Dumbledore's Patronus aus irgendeinem Grund scheiterte, während einer der Schüler noch in der Nähe des Dementors war, würde der dritte Auror einen anderen körperlichen Patronus werfen und ihn schicken, um den Schüler zu schützen..."
119,,"Und wenn Dumbledores Patronus aus irgendeinem Grund versagte, während einer der Schüler noch in der Nähe des Dementors war, würde der dritte Auror einen anderen körperlichen Patronus wirken und ihn senden, um den Schüler zu beschützen ..."
119,x,"Und falls Dumbledores Patronus scheiterte, während einer der Schüler sich immer noch in der Nähe des Dementors befand, würde der Dritte Auror seinen Patronuszauber wirken und aussenden um den Schüler zu beschützen.  "
125,,"Harry musste laufen dadurch gesamte sitzung in Zaubertränke in seinen gedanken, vor seinem blutgekühlt in etwas annäherung tödliche kristalline klarheit."
125,,"Harry musste die ganze Session in Zaubertränke in seinem Kopf durchlaufen, bevor sein Blut zu etwas kühlte, das sich der tödlichen kristallinen Klarheit näherte."
125,,"Harry musste die gesamte Sitzung in Zaubertränke in Gedanken durchgehen, bevor sein Blut zu etwas kühlte, das sich tödlicher kristalliner Klarheit annäherte."
125,,"Harry musste durch die ganze Sitzung in Zaubertränke in seiner Gedanken durchlaufen bevor sein Blut frierte zu etwas, was einer tödlichen kristallisierten Klarheit näherte."
125,x,"Harry ging in seinem Kopf die gesamte Stunde zu Zaubertränken durch, bevor sein Blut zu einer fast kristallinen Klarheit gefror."
127,,Und es war offensichtlich.
127,,Und das war offensichtlich.
127,,Und es war deutlich.
127,,Und es war deutlich
127,,Und es war offensichtlich.
128,,"""Der Dementor ist eine Ablenkung"", sagte Harry."
128,,",,Der Dementor ist eine Ablenkung,"" sagte Harry."
128,,"„Der Dementor ist eine Ablenkung,“ sagte Harry."
131,,"Während deine ganze Aufmerksamkeit auf den Dementor gelenkt ist, läuft das wahre Geschehen anderswo ab."""
131,,"Während eure Aufmerksamkeit auf dem Dementor gerichtet sind, wird die echte Handlung wiandrs passieren."""
131,,"Während sich also eure ganze Aufmerksamkeit auf den Dementor richtet, findet die eigentliche Handlung woanders statt."""
133,,",,Ja..."", sagte der Schulleiter."
133,,",,Ja..."" sagte der Schulleiter."
133,,"""Ja..."" sagte der Schulleiter."
134,,"Und ich glaube, ich weiß, wovon es ablenken könnte, wenn Professor Quirrell schlecht meint... danke, Harry."
134,,",,Und ich glaube schon, dass ich weiß wovon das eine Ablenkung sein könnte, falls Professor Quirrell Übles im Schilde führt... danke, Harry."""
134,,"""Und ich glaube, ich weiß, wovon es ablenken könnte, wenn Professor Quirrell es böse meint... Danke, Harry."""
135,,Der Schulleiter starrte Harry immer noch an; ein seltsamer Ausdruck weilte in diesen uralten Augen.
135,,"Der Schulleiter starrte immernoch Harry an, ein komischer Blick in den alten Augen."
135,,"Der Schulleiter starrte Harry immer noch an, mit einem seltsamen Blick in diesen alten Augen."
137,,",,Ich habe eine weitere Frage für diesen jungen Herrn"", sagte der Schulleiter."
137,,"""Ich habe noch eine Frage, junger Mann,""safte der Schulleiter."
137,,"""Ich habe noch eine Frage an den jungen Mann"", sagte der Schulleiter."
138,,"""Es ist etwas habe ich lange gewundert an mich, noch gewesen unfähig nachvollziehen. Warum??"""
138,,",,Das ist etwas, über das ich selbst lange nachgedacht habe, aber nie fähig war, zu verstehen. Warum??"""
138,,"""Das ist etwas, was ich mich schon lange frage, aber nicht begreifen kann. Warum?"""
142,,"Warum Voldemort?"""
142,,Wieso Voldemort?
142,,"Warum Voldemort?"""
142,,"Warum Voldemort?"""
144,,Harry starrte den Schulleiter überrascht an.
144,,Harry starrte auf dn Schulleiter überrascht.
144,,Harry starrte den Schulleiter erstaunt an.
145,,Und wie soll ich das bitteschoen wissen? sagte Harry
145,,",,Wie sollte ich das wissen?"" sagte Harry."
145,,"""Woher soll ich das wissen?"", sagte Harry."
147,,"""Ja!?"", sagte Dumbledore."
147,,"""Ja!?"" sprach Dumbledore"
147,,"""Ja!?"", sagte Dumbledore."
147,,"""Jawohl!?"" sagte Dumbledore."
147,,"Dumbledore sagte: ""Ja!?"""
147,,",,Ja!?"", sagte Dumbledore."
148,,"""Mein eigener großer Feind war Grindelwald, und ihn habe ich sehr gut verstanden."
148,,"Mein eigener großer Feind war Grindelwald, und ihn verstand ich sehr gut"
148,,"""Mein eigener großer Feind war Grindelwald, und ich verstand ihn sehr gut."
148,,"Mein eigener großer Feind war Grindewald, und ihn verstand ich wirklich sehr gut"
148,,Mein eigener großer Feind war Grindelwald und ihn verstand ich wohl sehr gut.
149,,"Grindelwald war mein dunkler spiegel, der mann ich könnte so einfach gewesen, hätte ich gegeben in der versuchung das glauben ich war ein guter mensch, und deshalb immer im recht."
149,,"Grindelwald war mein dunkler Spiegel, der Mann, der ich so leicht hätte sein können, wenn ich der Versuchung nachgegeben hätte, zu glauben, ich sei ein guter Mensch und daher immer im Recht."
149,,"Grindelwald war mein dunkler Spiegel, der Mann, den ich so einfach sein kann, hätte ich dieser Anfechtung nachgegeben, dass ich eine gute Person war, und deswegen immer im Licht."
149,x,"Grindelwald war mein dunkler Spiegel, der Mann welcher ich so einfach hätte sein können, hätte ich der Versuchung nachgegeben zu glauben ich wäre eine gute Person and würde daher immer richtig liegen."
150,,"Für das allgemeinwohl, das war sein motto; und er hat es wirklich selbst geglaubt, selbst als er zerriss überhaupt Europa wie ein verwundetes tier."
150,,"Für das Allgemeinwohl war das sein Motto; und er glaubte es wirklich selbst, während er ganz Europa wie ein verwundetes Tier zerriss."
150,,"Zum Wohle der Allgemeinheit, das war sein Slogan; und er glaubte es wahrhaftig selbst, während er ganz Europa wie ein verwundetes Tier zerriss."
150,x,"Zum Wohle der Allgemeinheit, das war seine Devise; und er glaubte wirklich daran, selbst als er sich über ganz Europa wie ein verwundetes Tier hermachte."
152,,"Aber dann kam nach ihn Voldemort, um all das zu zerstören, dass ich in Grossbritannien beschützt hatte"
152,,"Aber dann, nach ihm kam Voldemort, um alles was ich in Britannien beschützt hatte zu zerstören."
152,,"Aber nach ihm kam Voldemort, um alles zu zerstören, was ich in Großbritannien beschützt hatte."
153,,Der Schmerz war in Dumbledore Stimme einfach zu erkennen und in seinem Gesicht frei zu sehen.
153,,Der Schmerz war deutlich in Dumbledore’s Stimme zu hören und deutlich ins Gesicht geschrieben.
153,,Der Schmerz war jetzt deutlich in Dumbledores Stimme zu hören und auf seinem Gesicht zu sehen.
154,,"""Er hat sich verpflichtet verhält sich schlimmer bei weitem als Grindewalds am schlimmsten, grusel um der sache willen des grusel."
154,,",,Er hat Taten vollbracht, die so viel schrecklicher als Grindelwalds schlimmste sind; Grauen um des Grauens Willen."
154,,"""Er hat weitaus schlimmere Taten begangen als Grindelwalds schlimmste, Horror um des Horrors willen."
155,,"Ich habe alles geopfert, nur um ihn zurück halten, und ich verstehe immer noch nicht warum!"
155,,"Ich habe alles geopfert, nur um ihn zurückzuhalten und ich verstehe immer noch nicht warum!"
155,,"Ich opfere alles nur um ihn zurückzuhalten, und noch versthe ich nicht warum!"
156,,"Warum, Harry?"
156,,"Warum, Harry?"
156,,"Warum, Harry?"
161,,"Und irgendwie schien das nicht wie eine Antwort, die der Schulleiter hören wollte."
161,,Irgendwie schien das keine Antwort zu sein die der Schulleiter hören wollte.
161,,"Und irgendwie schien das keine Antwort zu sein, die der Schulleiter hören wollte."
163,,"Am anfang er dachte er würde nur einen machen, aber es geopfert teil seiner guten seite, und das machte ihn weniger zurückhaltend aufführen andere Dunkle rituale, also tat er mehr und mehr rituale in einem positiven feedback zyklus bis er endete als enorm mächtiges monster -"""
163,,"Am Anfang dachte er, er würde nur eines tun, aber es opferte einen Teil seiner guten Seite, und das machte ihn weniger widerwillig, andere dunkle Rituale durchzuführen, also tat er mehr und mehr Rituale in einem positiven Rückkopplung-Zyklus, bis er schließlich als ein enorm mächtiges Monster endete -"""
163,,"Am Anfang dachte er, er würde nur eines machen, aber das machte einen Teil seiner guten Seite traurig, und das machte ihn weniger zurückhaltend, andere Dark-Rituale durchzuführen, also führte er immer mehr Rituale in einem positiven Feedback-Zyklus durch, bis er schließlich als ungeheuer mächtiges Monster-"""
163,x,"Am Anfang dachte er, dass er nur eins machen würde, aber es opferte einen Teil seiner guten Seite und machte ihn weniger zurückhaltend weitere dunkle Rituale auszuführen, bis er immer mehr und mehr Rituale ausführte und als enorm starkes Monster endete."
164,,"""Nein!"" Die Stimme des Direktors klang jetzt gequält. ""Ich kann das nicht glauben, Harry!"
164,,",,Nein!"" erklang die Stimme des Schulleiters mit tiefer Qual. ,,Das kann ich nicht glauben, Harry!"""
164,,"""Nein!"" Jetzt klang die Stimme des Schulleiters gequält. ""Das kann ich nicht glauben, Harry!"
166,,"Warum sollte es geben? dachte Harry, aber er hat es nicht gesagt, weil es klar war das dachte der Schulleiter das Universum war eine geschichte und hatte eine handlung, und diese großen tragödien durften nicht passieren außer gleichberechtigung riesig, wichtige gründe."
166,,"Warum sollte es? dachte Harry, aber er sagte es nicht, denn es war klar, dass der Schulleiter das Universum als eine Geschichte mit einer Handlung ansah, in der große Tragödien aus gleichsam großen, bedeutsamen Gründen nicht passieren durften."
166,,"Warum sollte es geben? dachte Harry, aber er sagte es nicht, denn es war klar, dass der Schulleiter dachte, das Universum sei eine Geschichte und eine Handlung, und dass große Tragödien nur aus ebenso großen, bedeutsamen Gründen passieren durften."
166,x,"Wieso sollte es? dachte Harry, sagte es aber nicht, weil es klar war, dass der Schuldirektor dachte das Universum war eine Geschichte und hätte eine Handlung und das große Tragödien nicht passieren konnten ohne ebenso große und wichtige Gründe."
167,,"Es tut mir Leid, Rektor."
167,,"Es tut mir leid, Direktor,"
167,,"""Es tut mir leid, Herr Direktor."
167,,"""Es tut mir leid, Schulleiter."
169,,"es gibt nichts, was ich finde, selbst das kleinste bisschen verlockend, die Haut von Yermy Wibbles Familie an eine Newsroom-Wand zu nageln"
169,,"Es gibt nichts ich finde auch das kleinste bisschen verlockend zu nageln die häute von Yermi Wibble's familie in eine nachrichtenredaktion mauer."""
169,,"Es gibt nichts, was mich auch nur das Kleinste verlockt, wenn ich die Felle von Yermy Wibbles Familie an eine Redaktionswand nageln will."""
169,,"Ich finde gar nichts Verlockendes daran, die Häute von Yermy Wibble's Familie an die Wand einer Nachrichtenredaktion zu nageln."
169,x,"Es gibt nichts, was ich auch nur im Ansatz verlockend fände, die Körper der Familie Yermy Wibble an die Wand eines Nachrichtenstudios zu werfen."
173,,"Dunkle Lord, Der war wahrscheinlich nur ein egoist bastard wen war das egal wen er verletzt hat, oder ein idiot die dumm gemacht vermeidbar fehler das verschneit."
173,,"Dunkle Lord, Der Es war wahrscheinlich nur ein egoistischer Bastard, dem es egal war, wen er verletzt hat, oder ein Idiot, der dumm vermeidbare Fehler gemacht hat, die schneeballartig waren."
173,,"Der dunkle Lord war wahrscheinlich nur ein egoistischer Bastard, dem es egal war, wen er verletzte, oder ein Trottel, der dumme und vermeidbare Fehler gemacht hat, die eskalierten"
173,x,"Der dunkle Lord ist entweder ein egoistischer Mistkerl gewesen, dem es egal war, wen er verletzte, oder er war einfach nur ein Idiot, dem eine Reihe dummer vermeidbarer Fehler passiert sind."
176,,"Der alte zauberer war immer noch anschauen Harry von über eine fummelige sache wie ein gefrorener rauchwolke, eine schmerzhafte verzweiflung in diesen alten, wartende augen."
176,,"Der alte Zauberer schaute Harry noch immer von über eine zwielichtige Sache wie eine gefrorene Rauchwolke, eine schmerzhafte Verzweiflung in diesen alten, wartenden Augen."
176,,"Der alte Zauberer sah Harry immer noch über ein kniffliges Ding wie eine gefrorene Rauchwolke hinweg an, eine schmerzhafte Verzweiflung in diesen uralten, wartenden Augen."
176,x,"Der alte Zauberer schaute immer noch zu Harry herüber. Durch das fumelige Ding, das wie eine gefrorene Rauchwolke wirkte, sah man eine schmerzvolle Verzweiflung in seinen alt, wartenden Augen."
178,,"Es war viel einfacher als intelligent zu sein, eigentlich, da musstest du nichts Überraschendes sagen oder kommen sie mit neuen erkenntnissen."
178,,"Es war viel einfacher, als intelligent zu sein, denn man musste nichts Überraschendes sagen oder irgendwelche neuen Einsichten entwickeln."
178,,"Es war viel einfacher, als intelligent zu sein, da man nichts Überraschendes sagen oder neue Erkenntnisse gewinnen musste."
178,x,"Es war viel einfacher nicht intelligent zu sein, da man weder irgendetwas Überraschendes sagen, noch mit neuen Ideen um die Ecke kommen musste."
183,,"""Du magst sehr weise sein, Harry..."" sagte der Schulleiter langsam."
183,,",,Du magst sehr weise sein, Harry..."" sagte der Schulleiter langsam."
183,,"""Du bist vielleicht sehr weise, Harry"", sagte der Schulleiter langsam."
186,,"Harry suchte in seinen Gedanken hastig nach etwas anderem wirklich Weisem, das er sagen könnte, um die ungewollte Kraft des Schlags -"
186,,"Harry’s Gehirn suchte schnell nach etwas anderem und Wirklich Weise zu sagen, etwas was die unbeabsichtigte Stärke des Schlages abdämpfen würde."
186,,"Harrys Gedanken suchten hastig nach etwas anderem, das er sagen konnte, um die unbeabsichtigte Wucht des Schlages abzumildern."
187,,"""Oder vielleicht"" Harry sagte leiser, ""es ist der feind das macht den Gryffindor, wie es der freund ist das macht den Hufflepuff, und der ehrgeiz das macht den Slytherin."
187,,"""Oder vielleicht"", sagte Harry sanfter, ""ist es der Feind, der den Gryffindor macht, denn es ist der Freund, der den Hufflepuff macht, und der Ehrgeiz, der die Slytherin macht."
187,,"„Oder vielleicht“, sagte Harry sanfter, „es ist der Feind, der den Gryffindor ausmacht, wie es der Freund ist, der den Hufflepuff macht, und der Ehrgeiz, der den Slytherin ausmacht."
187,x,"""Oder, vielleicht"", sagte Harry sanfter, ""ist es der Feind der Gryffindor zu dem macht, was es ist, sowie es der Freund bei Hufflepuff und der Ehrgeiz bei Slytherin ist."""
190,,Der Schmerz klang immer noch in seiner Stimme nach.
190,,Das Leid war immer noch in seiner Stimme.
190,,Der Schmerz war immer noch in seiner Stimme zu hören.
191,,",,Nun da du es erwähnst, glaube ich schon, dass ich sehr wohl von meinen Feinden gemacht wurde."""
191,,",,Denn nun, wo du es erwähnst: Ich glaube wirklich, dass ich durch meine Feinde geschaffen wurde."""
191,,",,Nun da du es erwähnst, denke ich wirklich, dass ich von meinen Feinden geformt wurde."""
193,,"Vielleicht wäre jetzt der richtige Zeitpunkt, den Mund zu halten."
193,,"Vielleicht sollte er einfach seinen Mund halten solange er vorne lag,"
193,,"Vielleicht sollte er einfach die Klappe halten, solange er noch im Vorteil ist."
