Englisch,Deutsch
Heliopaths,Heliopathen
hellebore,
"Hem, hem","Chrm, Chrm"
Heptomology,
Herbology,Kräuterkunde
Hermes,Hermes
Hermione's Homework Planner,Hermines Hausaufgabenplaner
Hermy,Hermy
Hiccoughing Solution,Schluckauflösung
"Higgs, Bertie","Higgs, Bertie"
"Higgs, Terence","Higgs, Terence"
High Inquisitor,Großinquisitorin
hinkypunks,Hinkepank
Hippocampus,
Hippogriff,Hippogreif
History of Magic,Geschichte der Zauberei
"History of Magic, A by Bathilda Bagshott",Geschichte der Zauberei - Bathilda Bagshot
Hog's Head,Eberkopf
Hogsmeade,Hogsmeade
Hogwarts,Hogwarts
Hogwarts Gobstone Team,Koboldsteinmannschaft von Hogwarts
"Hogwarts, A History",Geschichte von Hogwarts - Buch über die Geschichte Hogwarts (Bd.2)
Hokey,Hokey
Holidays With Hags,Ferien mit Vetteln - Gilderoy Lockhart
holly,Stechpalme
Holyhead Harpies,
"Home Life and Social Habits of British Muggles by Wilhelm Wigworthy (PA13,
FB)",Häusliches Leben und gesellschaftliche Sitten britischer Muggel
Homorphus Charm,Homorphus-Zauber
Honeydukes,Honigtopf
"Hooch, Rolanda Madam","Hooch, Rolanda Madam"
"Hooper, Geoffrey","Hooper, Geoffrey"
"Hopkins, Wayne",
"Hopkirk, Mafalda","Hopfkirch, Mafalda"
Horcrux(es),Horkrux(e)
Horklump,
hornbeam,Weißbuche
"Hornby, Olive","Hornby, Olive"
horned slugs,Wellhornschnecken
horned toads,gehörnte Kröten
Hospital Shop,Krankenhauskiosk
House elfes,Hauselfen
House of Gaunt,Haus der Gaunts
House-Elf Relocation Office,
Howler,Heuler
Hufflepuff,Hufflepuff
"Hufflepuff, Helga","Hufflepuff, Helga"
I solemnly swear that I'm up to no good,"Ich schwöre feierlich, dass ich ein Tunichtgut bin"
ickle,Klein-
"Ickle Diddykins, Popkin, Dinky Diddydums, Big D, Dud","putziger Duddywutz, Mäusebär, süßer Duddymatz, Big D, Dud"
"Imago, Inigo","Imago, Inigo"
Imp,
Impediment Jinx,Lähmzauber
Impedimenta,Impedimenta
Imperio,Imperio
Imperius Curse,Imperius Fluch
Imperturbable Charm,Imperturbatio-Zauber
Imperturbed,imperturbiert
Impervius,Impervius
Important Modern Magical Discoveries,Bedeutende Entdeckungen der modernen Zauberei
Improper Use of Magic Office,Abteilung für unbefugte Zauberei/Büro gegen den Missbrauch der Magie
Inanimatus Conjuring Spell,Inanimatus-Aufrufezauber
Incarcerous,Incarcerus
Incendio,Incendio
incorperating the International Magical Traiding Standards Body,Internationaler Magischer Handelsausschuss
incorporating Beast / Beast Division,Tierwesenbehörde
incorporating the British and Irish Quidditch League Headquaters,Zentrale der Britischen und Irischen Quidditch-Liga
incorporating the Floo Network Authority,Flohnetzwerkaufsicht
incorrectly applied charms,nicht korrekt angewandte Zauber
Inferi,Inferi
Ingolfr the Iambic,
Ingredients,Zutaten
Inquisitorial Squad,Inquisitionskommando
"Instant Darkness Powder, Peruvian",Instant Finsternispulver
Intermediate Transfiguration (PA4),Verwandlung: Die Zwischenstufen - Schulbuch von Harry im 3. Jahr (Bd.3)
International Confederation of Wizards,Internationale Zauberervereinigung
"International Confederation of Wizards, British Seats","Internationale Zaubervereinigung, britische Sektion"
International Magical Office of Law,Internationales Büro für magisches Recht
International Statute of Secrecy,Internationales Geheimhaltungsstatut
Invigoration Draught,Stärkungstrank
Invisibility Cloak,Unsichtbarkeitsmantel
Invisibility Spell,Unsichtbarkeitszauber
Invisible Book of Invisibility (PA4),Unsichtbare Buch der Unsichtbarkeit - Fehlkauf von Flourish & Blotts (Bd.3)
Isle of Wight,Isle of Wight
Janus Thickey Ward,Janus-Thickey-Station
Jarvey,
Jelly-Legs Jinx,Wabbelbeinfluch
"Jewkes, Leonard",
"Jigger, Arsenius","Bunsen, Arsenius"
Jinxes for the Jinxed,Hexen für Verhexte
Jobberknoll,
"Johnson, Angelina","Johnson, Angelina"
Joke Cauldron,Juxkessel
"Jones, Gwenog","Jones, Gwenog"
"Jones, Hestia","Jones, Hestia"
"Jones, Megan",
"Jordan, Lee","Jordan, Lee"
"Jorkins, Bertha","Jorkins, Bertha"
Jugson,Jugson
Junior Minister,Junior Minister
Jupiter,Jupiter
Kacky Snorgle,Schrumpfschnarchler
Kacky Snorgle(statt Crumble Horned Snorkack),
Kappa,Kappa
"Karkaroff, Igor","Karkaroff, Igor"
"Karkaroff, Igor","Karkaroff, Igor"
Karkus,Karkus
"Keeper of Keys and Grounds, Gamekeeper",Hüter der Schlüssel und Ländereien von Hogwarts / Wildhüter
Kelpie,Wassergeist
Kelpie,Wassergeist
Kenmare Kestrels,Kenmare Kestrels
"Ketteridge, Elladora","Ketteridge, Elladora"
"Kettleburn, Professor","Kesselbrand, Professor"
"King, R. J. H.","King, R. J. H."
"Kirke, Andrew","Kirke, Andrew"
Knarl,Knarl(e)
Knarl quills,Knarlkiele
Kneazle,Kniesel
Knickerbocker Glory,Eisbecher Hawaii
Knight Bus,Fahrender Ritter
Knitting Charm,Strickzauber
Knockturn Alley,Nockturngasse
Knockturn Alley,Nockturngasse
knotgrass,Knöterich
Knut,Knut
Kreacher,Kreacher
"Krum, Viktor","Krum, Viktor"
"Krum, Viktor","Krum, Viktor"
Kwikspell,Schnellzaubern
Kwikspell,KWIKZAUBERN
Kwikspell - A Correspondence Course in Beginners' Magic,KWIKZAUBERN - Ein Fernkurs in Zauberei für Anfänger (Bd.2)
lacewing flies,Florfliegen
Lachlan the Lanky,Lachlan der Lulatsch
Langlock,Langlock
Langlock Jinx,Langlock-Fluch
Lav-Lav,Lav-Lav
"Le Fay, Morgan","Le Fay, Morgan"
Leaflet: PROTECTING YOUR HOME AND FAMILY AGAINST DARK FORCES,Merkblatt: ZUM SCHUTZ IHRES HAUSES UND IHRER FAMILIE VOR DEN DUNKLEN KRäFTEN
Leaky Cauldron,"Herausgegeben im Auftrag des Zaubereiministeriums ZUM SCHUTZ IHRES HAUSES
UND IHRER FAMILIE VOR DEN DUNKLEN KRäFTEN"
Leanne,Leanne
leaping toadstool,hüpfende Giftpilze
leech juice,Blutegelsaft
leeches,Blutegel
Legilimency,Legilimentik
Legilimens,Legilimens/Legilimentor
Leg-locker Curse,Beinklammerfluch
Leprechaun,irische Kobolde
Leprechaun,Leprechan
"Lestrange, Bellatrix","Lestrange, Bellatrix"
"Lestrange, Rabastan","Lestrange, Rabastan"
"Lestrange, Rodolphus","Lestrange, Rodolphus"
"Lestrange, Senior","Lestrange, Senior"
Lethifold,Letifold
Lethifold,
Levicorpus (n-vbl),Levicorpus (unges.)
Levitation Charm,Schwebezauber
"Li, Su",
Liberacorpus,Liberacorpus
Librarian,Bibliothekarin
"lionfish, spine of",Löwenfischgräten
Little Hangleton,Little Hangleton
"Little Whinging, Surrey","Little Whinging, Surrey"
"Llewellyn, Dai","Llewellyn, Dai"
Lobalug,
"Locket, heavy golden","Medaillon, schweres goldenes"
"Lockhart, Gilderoy","Lockhart, Gilderoy"
"Lockhart, Gilderoy, Professor","Lockhart, Gilderoy, Professor"
Locomotion Charm,Bewegungszauber
Locomotor,Locomotor
Locomotor Mortis,Locomotor Mortis
Locomotor trunk,Locomotor Koffer
"Longbottom, Algie","Longbottom, Algie"
"Longbottom, Alice","Longbottom, Alice"
"Longbottom, Augusta","Longbottom, Augusta"
"Longbottom, Enid","Longbottom, Enid"
"Longbottom, Frank","Longbottom, Frank"
"Longbottom, Neville","Longbottom, Neville"
"Longbottom, Neville","Longbottom, Neville"
Loser's Lurgy,Verlierer-Zipperlein
lovage,Liebstöckel
Love Potion,Liebestrank
Lovegood,Lovegood
Lovegood,Lovegood
"Lovegood, Luna","Lovegood, Luna"
Ludicrous Patents Office,Büro für Lächerliche Patente
"Lufkin, Artmisia",
Lumos,Lumos
Lupin Remus John Professor,Lupin Remus John Professor
Mackled Malaclaw,
"Macmillan, Ernie","Macmillan, Ernie"
"Macnair, Walden","Macnair, Walden"
Madam Malkins Robes,Madam Malkins Anzüge für alle Gelegenheiten
Madam Puddifoot's,Madam Puddifoot
Madcap Magic for Wacky Warlocks (GF26),Magische Mätzchen für tumbe Zauberer
"Madley, Laura","Madley, Laura"
Mafalda Hopkirk,Mafalda Hopfkirch
Magical Bugs,Magische Pestilenzen
Magical Cars,magische Ministeriumsautos
Magical Chains,Magische Ketten
Magical chess,Zauberschach
Magical Drafts and Potions by Arsenius Jigger,Zaubertränke und Zauberbräue - Arsenius Bunsen
Magical Hieroglyphs and Logograms,Magische Hyroglyphen und Logogramme
Magical Law Enforcement Patrol,Magische Strafverfolungspatrouille
Magical Maintenance,Zauberei-Zentralverwaltung
Magical Me,Zaubrisches Ich - Gilderoy Lockhart
Magical Theory by Adalbert Waffling,Theorie der Magie - Adalbert Schwahfel
Magical Water Plants of the Mediterranean,Magische Wasserpflanzen des Mittelmeers und ihre Wirkungen
Magick Moste Evile,Gar Böse Zauberey
Magnolia Crescent,Magnolienring
Magnolia Road,Magnolienstraße
Magorian,Magorian
mahogany,Mahagoni
Malcolm,Malcom
Malecrit,
"Malfoy, Abraxas","Malfoy, Abraxas"
"Malfoy, Draco","Malfoy, Draco"
"Malfoy, Lucius","Malfoy, Lucius"
"Malfoy, Lucius","Malfoy, Lucius"
"Malfoy, Narcissa","Malfoy, Narcissa"
"Malfoy, Narcissa geb. Black","Malfoy, Narcissa geb. Black"
mallowsweet,
mandrake,"Alraune, Mandragora"
Mandrake Restorative Draught,Alraune-Wiederbelebungstrank
manticore,Mantikor
maple,Ahorn
Marauder's Map,Karte des Rumtreibers
"Marchbanks, Griselda","Marchbanks, Griselda"
Mars,Mars
"Marsh, Madam","Marsh, Madam"
Martha,Martha
"Mason, Mr and Mrs","Mason, Mr and Mrs"
Master of Mystery,Meister der Mysterien
"Maxime, Olympe","Maxime, Olympe"
"Maxime, Olympe","Maxime, Olympe"
"Mc Dougal, Morag","Mc Dougal, Morag"
"McDonald, Natalie","McDonald, Natalie"
"McGonagall, Minerva","McGonagall, Minerva"
"McGonagall, Minerva, Professor","McGonagall, Minerva, Professor"
"McGuffin, Jim","McGuffin, Jim"
"McKinnon, Marlene","McKinnon, Marlene"
McKinnons,McKinnons
"McLaggen, Cormac","McLaggen, Cormac"
"McLaggen, Tiberius","McLaggen, Tiberius"
"Meadowes, Dorcas","Meadowes, Dorcas"
Memory Potions,
Men Who Love Dragons Too Much,"Männer, die Drachen zu sehr lieben"
Merlin,Merlin
Merpeople,Meermenschen
"Merrythought, Galatea, Professor","Merrythought, Galatea, Professor"
Metamorphmagus,Metamorphmagus
Metamorph-Medals,Metamorph-Medaillen
"Midge(o)n, Eloise","Midge(o)n, Eloise"
"Miggs, Martin the Mad Muggle","Miggs, Martin der miggerige Muggel"
Mimbulus Mimbletonia,Mimbulus Mimbeltonia
"Minister, Junior Assistant to the Minster, Senior Undersecretary to the
Minister","Minister, Juniorassistent des Ministers, Ersrter Untersekretär des Ministers"
Ministry Apparition Instructor,Apparierlehrer
Ministry of Magic,Zaubereiministerium
Miranda Goshawk,Miranda Habicht
Mischief managed,Unheil angerichtet
Misuse of Muggle Artefacts Office,Missbrauch von Muggelartefarkten
Moaning Myrtle,Maulende Myrte
Mobilcorpus,Mobilicorpus
Mobiliarbus,Mobiliarbus
Mobiliarbus,Mobiliarbus
Mobilicorpus,Mobilcorpus
"Mockridge, Cuthbert","Mockridge, Knutbert"
Modern Magical History,Geschichte der modernen Magie
Moke,
Mollywobbles,Mollyröllchen
monkshood,Mönchshut
Montague,Montague
"Montague, Mr.und Mrs","Montague, Mr.und Mrs"
Montgomery brother,Montgomery Bruder
Montgomery sisters,Montgomery Schwestern
"Moody, Alastor ""Mad-Eye""","Moody, Alastor ""Mad-Eye"""
Moon,Moon
Mooncalf,Mondkalb
Moony,Moony
Morgana,Morgana
Morsmordre,Morsmordre
Mortlake,Mortlake
Mosag,Mosag
Mosag,Mosag
Most Extraordinary Society of Potioneers,Extraordinäre Zunft der Trankmeister
"Mostafa, Hassan","Mostafa, Hassan"
Moste Potente Potions,Höchst potente Zaubertränke
Mrs Skowers All-Purpose Magical Mess Remover,Mr. Skower
mudblood,Schlammblut
Muffliato,"Muffliato, Muffliato-Zauber"
Muggle,Muggel
muggle dunghill,Muggelkloake
muggle magic tricks,Muggelzaubertricks
Muggle Studies,Muggelkunde
Muggles Who Notice by Blenheim Stalk,"Muggel die es sehen, von Blenheim Stalk"
Muggle-Worthy Excuse Commitee,Komitee für Muggelgerechte Entschuldigungen
"Mugwump, Supreme",Ganz hohes Tier
Mulciber,Mulciber
Mulciber,Mulciber
"Muldoon, Burdock",
"Munch, Eric","Munch, Eric"
Murcus,Murcus
"Muriel, Auntie, Great Auntie","Muriel, Tantchen, Großtantchen"
Murtlap,Murtlap
Murtlap essence,Murtlap Essenz
N.E.W.T.s,UTZ(Unheimlich toller Zauberer)
Nagini,Nagini
Nargles,Nargel(n)
Nature's Nobility: A Wizarding Genealogy,Noblesse der Natur: Eine Genealogie der Zauberei
Nearly Headless Nick,Fast Kopfloser Nick
nettle,"Nessel,Brennessel"
"Nettles, Madam Z.","Nettles, Madame Z."
New Theory of Numerology,Neue Theorie der Numerologie
Niffler,Niffler
Nimbus 2000,Nimbus 2000
Nogtail,Nogschwanz
"Norbert, the Norwegian Ridgeback","Norbert, der norwegische Stachelbuckel"
"Norris, Mrs.","Norris, Mrs."
Nosebleed Nougat,Nasblutnugat
Notable Magical Names of Our Time (SS12),Handbuch zeitgenössischer Magier
"Nott, Senior","Nott, Senior"
"Nott, Theodore","Nott, Theodor"
Nox,Nox
Numerology and Gramatica,Nummerologie und Grammatica
Nundu,
Nurse,Krankenschwester
n-vbl,unges.
O = Outstanding,O = Ohnegleichen
O.W.L.s,ZAG(Zauberergrad)
oak,Eiche
Oblansk,Oblansk
Obliteration Charm,Tilgzauber
Obliviate,Amnesia/Obliviate
Obliviator,Vergissmich
Obliviator Headquaters,Vergissmich-Zentrale
Obscurus Books,Obscurus Books
Occamy,
Occlumency Occlumens,"Okklumentik, Okklumentor"
"Odo, the hero","Odo, der Held"
"Office for the Detection and Confiscation of Counterfeit Defensive Spells
and Protective Objects","Büro zur Ermittlung und Beschlagnahme Gefälschter Verteidigungszauber und 
Schutzgegenstände"
Office of House-Elf Relocation,
Office of Missinformation,Amt für Desinformation
"Office of the Detection and Confiscation of Counterfeit Defensive Spells
and Protective Objects",
Official Gobstones Club,Offizieller Koboldstein-Klub
"Ogden, Bob","Ogden, Bob"
"Ogden, Tiberius","Ogden, Tiberius"
Ogg,Ogg
Olde and Forgotten Bewitchments and Charmes,Alte und vergessene Hexereien und Zaubereien
"Ollerton, Gifford","Ollerton, Gifford"
Ollivander,"Ollivander, Mr"
Ollivanders Magic Wandssince 382 b.c.,Ollivander - Gute Zauberstäbe seit 382 v. Chr.
Ollivanders,Ollivander
"Olympe, Maxime","Olymp, Maxime"
Omnioculars,Omnigläser
One Minute Feasts - It's Magic,Festessen in einer Minute - Das ist Hexerei!
"One Thousand Magical Herbs and Fungi(SS,OP)","Tausend Zauberkräuter und -pilze/Tausend magische Kräuter und Pilze -
Phyllida Spore"
opal and silver necklace,Silberhalsband
"opal necklace, ornate","Opalhalsband, reich verziertes"
Oppugno,Oppugno
Orchideus,Orchideus
Order of the Phoenix,Orden des Phönix/Phönixorden
Ornithomancy,Ornitholomantik
Ottery Saint Catchpole,Ottery St. Catchpole
Ottery St. Catchpole,Ottery St. Catchpole
OWLs(Ordinary Wizarding Level),ZAG(Zauberergrad)
P=Poor,M = Mies
Pack,Packe
Padfoot,Tatze
"Palominos, winged","Palominos, geflügelte"
Paracelsus,Paracelsus
"Parkinson, Pansy","Parkinson, Pansy"
Parry Otter,Parry Otter
Parselmouth,Parselmund
Parseltongue,Parselzunge
Partial Vanishment,partielles Verschwinden
Passwords Dumbledore's Study,"Passwörter, Dumbledores Büro"
Passwords Gryffindor,Passwörter Gryffindor
Passwords Slytherin,Passwörter Slytherin
"Passwords, other",Passwörter sonstige
Patented Daydream Charms,patentierte Tagtraumzauber
"Patil, Padma","Patil, Padma"
"Patil, Parvati","Patil, Parvati"
Patronus,Patronus
"Paws, Mr.",Putty
"Peakes, Jimmy","Peakes, Jimmy"
"Peasegood, Arnold","Friedlich, Arnold"
Peeves,Peeves
Pensieve,Denkarium
Pepper Imps,Pfefferkobolde
"Pepper, Octavius","Pepper, Octavius"
Pepperup Potion,Aufpäppel-Trank
Perkins,Perkins
"Perks, Sally-Anne","Perks, Sally-Anne"
Permanent Sticking Charm,Dauerklebefluch
Peskipiksi Pesternomi,Pelzkiwichteli
Pest Advisory Bureau,Seuchenberatungsbüro
Petrificus totalus,Petrificus totalus
"Pettigrew, Peter","Pettigrew, Peter"
Peverell Coat of Arms,Peverell-Wappen
Philological Stone,Stein der Meisen
Philosopher's Stone,Stein der Weisen
"Philosophy of the Mundane, The: Why Muggles Prefer Not to Know by Professor
Mordicus Egg (FB)","Die Philosophie des Weltlichen: Warum die Muggel es lieber nicht wissen 
wollen von Professor Mordicus Egg"
"Philpott, Arkie","Philpott, Arkie"
Phlegm,Schleim
Phoenix,Phönix
photograph potions,
Pigwidgeon,Pigwidgeon
"Pince, Irma","Pince, Irma"
"Pince, Irma","Pince, Irma"
Pixie,Wichtel
please-men,Blitzisten
please-men(Policemen),Blitzisten(Polizisten)
Plimpy,
"Plumpton, Roderick","Plumpton, Roderick"
plunger,Saugglocke
plus-fours,Knickerbocker
"Podmore, Sturgis","Podmore, Sturgis"
Pogrebin,Pogrebin
Poliakoff,Poliakoff
Poliakoff,Poliakoff
"Polkiss, Mrs.","Polkiss, Mrs."
"Polkiss, Piers","Polkiss, Piers"
Poltergeist,Poltergeis
Polyjuice Potion,Vielsafttrank
Polyjuice Potion,Vielsafttrank
Pomegranate juice,Granatapfelsaft
"Pomfrey, Poppy","Pomfrey, Poppy"
"Pontner, Roddy","Pontner, Roddy"
porcupine quills,Stachelschweinpastillen
Porlock,Porlock
Porskoff Ploy,Porskoff Täuschung
Portable Swamp,Tragbarer Sumpf
Portkey,Portschlüssel
Portkey Office,Portschlüsselbüro
Portus,Portus
Potion and Plant Poisoning,Vergiftungen durch Zaubertränke und Pflanzen
Potions,Zaubertänke
"Potter, Harry James","Potter, Harry James"
"Potter, James","Potter, James"
"Potter, Lily, geborene Evans","Potter, Lily, geborene Evans"
Potters,Potters
"Potters, Harry's Grandparents","Potters, Harrys Großeltern"
powdered griffin claw,Greifenklauenpulver
"Powers You Never Knew You Had and What To Do With Them Now You've Wised Up
(GF26)","Kräfte Ihres Innern, von denen Sie nie wussten, und was Sie damit anfangen 
- Buch aus der Bibliothek, mit dem Harry sich auf das Trimagische Turnier 
vorbereiten will (Bd.4)"
Practical Defensive Magic and Its Use Against the Dark Arts,Praktische Defensive Magie und ihr Einsatz gegen die dunklen Künste
"Prang, Ernie","Prang, Ernie"
Predicting the Unpredictable: Insulate Yourself Against Shocks (PA4),Die Vorhersage des Unvorhersagbaren: So schützen sie sich vor Schocks
Prefect,Vertrauensschüler
Prefects Who Gained Power,"Vertrauensschüler und ihr Weg zur Macht. Eine Studie über Vertrauensschüler
in Hogwarts und ihre Karrieren"
"Prentice,Mr.","Prentice,Mr."
"Prewett, Fabian","Prewett, Fabian"
"Prewett, Gideon","Prewett, Gideon"
"Prewetts, The","Prewetts, The"
Pride of Portree,Pride of Portree
Prime Minister,Premierminister
"Prince, Eileen","Prince, Eileen"
"Prince, Madam","Prince, Madam"
"Pringle, Apollyon","Pringle, Apollyon"
"Pringle, Apollyon","Pringle, Apollyon"
Prior incantato,Prior incantado
Priori incantatem,Priori incantatem
"Pritchard, Graham","Pritchard, Graham"
privet,Liguster
Privet Drive,Ligusterweg
Probity Probe,Seriositätssonde
"Prod, D.J.","Prod, D.J."
Producing Hot Air Charm,Heißluftzauber
Prof. Grubbly-Plank,Prof. Raue-Pritsche
Prof. Kettleburn,Prof. Kesselbrand
Prongs,Krone
"Prophecy, the first true","Vorhersage, die erste wahre"
"Prophecy, the second true","Vorhersage, die zweite wahre"
Protean Charm,Proteuszauber
Protective Potions,Schutztränke
Protego,Protego
Proudfoot,Proudfoot
Ptolemy,Ptolomäus
"Pucey, Adrian","Pucey, Adrian"
Puddlemere United,Eintracht Pfützensee
puffapod,Kartoffelbauchpilz
puffer-fish eyes,Pufferfischaugen
Puffskein,Knuddelmuff
Puking Pastilles,Kotzpastillen
pumbles (plumbers),Pempler (statt Klempner)
Pumbles(statt plumbers),Pempler(statt Klempner)
pumpkin,Kürbis
punching Telescope,boxendes Teleskop
Purge & Dowse Ltd.,Reinig und Tunkunter GmbH
"Purkiss, Doris","Purkiss, Doris"
Put-Outer,Ausmacher/Entleuchter/Ausschalter
"Pye, Augustus","Pye, Augustus"
Pygmy Puff,Minimuff
Queerditch Marsh,
Quentin Trimble,Quirin Sumo
Quibbler,Klitterer
Quid agis,Quid agis
Quidditch,Quidditch
"Quidditch Teams of Britain and Ireland (GF23, OP3)",Quidditch-Mannschaften Großbritanniens und Irlands
Quidditch Through the Ages (SS9) by Kennilworthy Whisp (QA),Quidditch im Wandel der Zeiten
Quietus,Quietus
Quietus,
"Quills, self-inking, spell-checking, smart-answers","Federkiel mit Sorten Selbstauffüller, Rechtschreibchecker und
Schlaue-Antwort"
Quintaped,
Quintessence: A Quest,Die Suche nach der Quintessenz
"Quirkie, Orla","Quirkie, Orla"
"Quirrel, Quirenius Professor","Quirrel, Quirenius Professor"
Quodpot,
Racism,Rassismus
"Rackharrow, Urquhart","Rackharrow, Urquhart"
Ragnok,Ragnok
Railview Hotel,Hotel zum Bahnblick
Ralph,Ralph
Ramora,
rashes,Ausschäge
rat tails,Rattenschwänze
Ravenclaw,Ravenclaw
"Ravenclaw, Rowena","Ravenclaw, Rowena"
Red Cap,Rotkappen
Reducio,Reducio
Reducto,Reductio
Reducto Curse,Reducto Fluch
Re'em,
Refilling Charm,Nachfüllzauber
regurgitation,Erbrechen
Relashio,Relaschio
Remembrall,Erinnermich
Rennervate,Rennervate
Reparo,Reparo
Rictusempra,Rictusempra
Riddikulus,Riddikulus
"Riddle, Merope","Riddle, Merope"
"Riddle, Mr. And Mrs","Riddle, Mr. und Mrs"
"Riddle, Tom Marvolo","Riddle, Tom Vorlost"
"Riddle, Tom Senior","Riddle, Tom Senior"
"Ring, black-stoned","Ring, schwarzsteiniger"
Ripper,Ripper
Rita Skeeter,Rita Kimmkorn
"Robards, Gawain",
"Robins, Demelza","Robins, Demelza"
Romanian Longhorn dragon horn,
Ronan,Ronan
"Rookwood, Algernon=Augustus","Rookwood, Augustus"
"Rookwood, Augustus",
Room of Requirement,Raum der Wünsche
Roonil Wazlip,Runald Waschlab
rosewood,
"Rosier, Evan","Rosier, Evan"
"Rosier, Evan",
"Rosmerta, Madam","Rosmerta, Madam"
Rotfang Conspiracy,Rotfang-Verschwörung
Rune Dictionary (GF20),Runenwörterbuch
Rune Stone,Runenstein
Runespoor,
Rupert,Rupert
"Ryan, Barry","Ryan, Barry"
S.P.E.W.,B.Elfe.R(Bund für Elfenrechte)
S.P.E.W.,
S.P.U.G.,"B.L.ö.K.(Befreit die lümmelhaften, öden Kobolde)"
S.P.U.G.,
Salamander blood,Salamanderblut
Salem Witches' Institute,Hexenistitut Salem
Salem Witches' Institute,
Salems Witches Institute,Hexeninstitut von Salem
Sanguini,Sanguini
Saucey Tricks for Tricky Sorts (GF26),Scharfe Tricks für scharfe Typen
Savage,Savage
Scabbers,Krätze
"Scamander, Newton Artemis Fido","Scamander, Lurch"
scarab beetles,
Scarpin's Revealaspell,Scarpins Revelatiozauber
Scintillating Solution,Funkenlösung
Scourgify,Ratzeputz
Screech owl,"Zwergohreule,Schleiereule"
Screechsnap,
"Scrimgeour, Rufus","Scrimgeour, Rufus"
Scrivenshafts Quill Shop,Schreiberlings Federladen
scrofungulus,
scurvy-grass,Löffelkraut
Sea Serpent,
Secrecy Sensors,Geheimnis-Detektoren
Sectumsempra,Sectumsempra
Self-Correcting Ink,selbstkorrigierende Tinte
Self-Defensive Spellwork,Zaubern zur Selbstverteidigung
Serpensortia,Serpensortia
Set of Gallows,Henker
Severing Charm,
"Shacklebolt, Kingsley","Shacklebolt, Kingsley"
Shield Charm,Schildzauber
Shield Cloaks,Schildumhänge
Shield Gloves,Schildhandschuhe
Shield Heads,Schildhüte
"Shimpling, Derwent","Shimpling, Derwent"
Shrake,
Shrinking Solution,
shrunken head,Schrumpfkopf
"Shunpike, Stan(ley)","Shunpike, Stan(ley)"
Sickle,Sickle
Sickle,
Side-Along-Apparition,Seit-an-Seit-Apparieren
Silencing Charm,Schweigezauber
Silencio,Silencio
"Sinistra, Professor","Sinistra, Professor"
Sir Cadogan,Sir Cadogan
Sites of Historical Sorcery (PA5),Historische Stätten der Zauberei
"Skeeter, Rita",Kimmkorn Rita
"Skeeter, Rita",
"Skeeter, Rita Rita Kimmkorn","Kimmkorn, Rita"
Skele-gro,Skelewachs
Skele-gro,Skelewachs
Skiving Snackboxes,Nasch- und Schwänz-Leckereien
Sleekeasy's Hair Potion,
Sleeping Draft/Draught/Potion,Schlaftrunk
"Slinkhard, Wilberg","Slinkhard, Wilberg"
"Sloper, Jack","Sloper, Jack"
Sloth Grip Roll,Faultirerrolle
Slug Club,Slug Klub
Sluggy,Sluggy
"Slughorn, Horace E. F.","Slughorn, Horace E. F."
Slug-vomiting Charm,Schnecken-Spuck-Zauber
Slytherin,Slytherin
"Slytherin, Salazar","Slytherin, Salazar"
"Slytherin, Salazar","Slytherin, Salazar"
Smeltings,Smeltings
"Smethwyck, Hippocrates","Smethwyck, Hippocrates"
"Smethwyk, Elliot",
"Smith, Hepzibah","Smith, Hepzibah"
"Smith, Zacharias","Smith, Zacharias"
snake fangs,
"Snape, Eileen","Snape, Eileen"
"Snape, Severus, Professor","Snape, Severus, Professor"
"Snape, Tobias","Snape, Tobias"
Snargaluff Pod,Snargaluff-Kokon
"Snargaluff Stump, gnarled",Snargaluff-Stumpf
Sneakoscope,Spickoskop
Sneakoscope,Taschenspickoskop
sneezewort,Nieskraut
Snidget,
Snitch,Schnatz
Snivellus (auch: Snivelly),Schniefelus
Snowy,Snowy
Snowy owl,Schneeeule
Snuffles,Schnuffel
Snuffles,
soft option,Laberfach
Solution of strained and pickled Murtlap tentacles,Lösung aus eingelegten und filtrierten Murtlap-Tentakeln
Sonnets of a Sorcerer (CS13),
Sopophorous Bean,Schlafbohne
Sorting Hat,Sprechender Hut
Sparky,
Spattergroit,Griselkrätze
Specialis revelio,Specialis revelio
Spectrespec,Gespensterbrille
Spell Damage,Fluchschäden
Spellman's Syllabary(alte Runen Buch),Zaubermanns Silbentabelle
Spellotape,Zauberband
spells,Zaubersprüche
Spew,Belfer
Sphinx,
Spinner's End,Spinner's End
"Spinnet, Alicia","Spinnet, Alicia"
Splinching,Zersplintern
"Spore, Phyllida",
Squib,Squib
St. Brutus,St. Brutus
St. Mungo,St. Mungo
St. Mungo's Hospital,St. Mungo Hospital
Standard Book of Spells Grade 1 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 1 - Miranda Habicht
Standard Book of Spells Grade 2 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 2 - Miranda Habicht
Standard Book of Spells Grade 3 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 3 - Miranda Habicht
Standard Book of Spells Grade 4 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 4 - Miranda Habicht
Standard Book of Spells Grade 5 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 5 - Miranda Habicht
Starfish and Stick,
Statute of Secrecy,Geheimhaltungsstatut
Stealth and Tracing,Verheimlichen und Aufspüren
Stealth Sensoring Spell,Heimlichkeitsaufspürzauber
Stebbins,Stebbins
